"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","timepoint"
"Logan-22-Weekday-trip","08:00:00","08:00:00","Logan-Subway",1,"",0,1,0
"Logan-22-Weekday-trip","08:04:00","08:04:00","Logan-RentalCarCenter",2,"",0,1,0
"Logan-22-Weekday-trip","08:09:00","08:09:00","Logan-A",3,"",0,0,0
"Logan-22-Weekday-trip","08:12:00","08:12:00","Logan-B",4,"",0,0,0
"Logan-22-Weekday-trip","08:17:00","08:17:00","Logan-Subway",5,"",1,0,0
"Logan-22-Weekend-trip","12:00:00","12:00:00","Logan-Subway",1,"",0,1,0
"Logan-22-Weekend-trip","12:04:00","12:04:00","Logan-RentalCarCenter",2,"",0,0,0
"Logan-22-Weekend-trip","12:09:00","12:09:00","Logan-A",3,"",0,0,0
"Logan-22-Weekend-trip","12:12:00","12:12:00","Logan-B",4,"",0,0,0
"Logan-22-Weekend-trip","12:17:00","12:17:00","Logan-Subway",5,"",1,0,0
"Logan-33-Weekday-trip","08:00:00","08:00:00","Logan-Subway",1,"",0,1,0
"Logan-33-Weekday-trip","08:04:00","08:04:00","Logan-RentalCarCenter",2,"",0,0,0
"Logan-33-Weekday-trip","08:09:00","08:09:00","Logan-C",3,"",0,0,0
"Logan-33-Weekday-trip","08:12:00","08:12:00","Logan-E",4,"",0,0,0
"Logan-33-Weekday-trip","08:17:00","08:17:00","Logan-Subway",5,"",1,0,0
"Logan-33-Weekday-trip","08:21:00","08:21:00","Logan-RentalCarCenter",6,"",0,0,0
"Logan-33-Weekday-trip","08:26:00","08:26:00","Logan-C",7,"",0,0,0
"Logan-33-Weekday-trip","08:29:00","08:29:00","Logan-E",8,"",0,0,0
"Logan-33-Weekday-trip","08:34:00","08:34:00","Logan-Subway",9,"",1,0,0
"Logan-33-Weekend-trip","12:00:00","12:00:00","Logan-Subway",1,"",0,1,0
"Logan-33-Weekend-trip","12:04:00","12:04:00","Logan-RentalCarCenter",2,"",0,0,0
"Logan-33-Weekend-trip","12:09:00","12:09:00","Logan-C",3,"",0,0,0
"Logan-33-Weekend-trip","12:12:00","12:12:00","Logan-E",4,"",0,0,0
"Logan-33-Weekend-trip","12:17:00","12:17:00","Logan-Subway",5,"",1,0,0
"Logan-33-Weekend-trip","12:21:00","12:21:00","Logan-RentalCarCenter",6,"",0,0,0
"Logan-33-Weekend-trip","12:26:00","12:26:00","Logan-C",7,"",0,0,0
"Logan-33-Weekend-trip","12:29:00","12:29:00","Logan-E",8,"",0,0,0
"Logan-33-Weekend-trip","12:34:00","12:34:00","Logan-Subway",9,"",1,0,0
"Logan-55-Weekday-trip","00:00:00","00:00:00","Logan-Subway",1,"",0,1,0
"Logan-55-Weekday-trip","00:04:00","00:04:00","Logan-RentalCarCenter",2,"",0,0,0
"Logan-55-Weekday-trip","00:09:00","00:09:00","Logan-A",3,"",0,0,0
"Logan-55-Weekday-trip","00:11:00","00:11:00","Logan-B",4,"",0,0,0
"Logan-55-Weekday-trip","00:12:00","00:12:00","Logan-C",5,"",0,0,0
"Logan-55-Weekday-trip","00:14:00","00:14:00","Logan-E",6,"",0,0,0
